Timepoint	Time [s]	Object ID	X	Y	Tracked Nuclei - Age [s]	Tracked Nuclei - Current Displacement X [µm]	Tracked Nuclei - Current Displacement Y [µm]	Tracked Nuclei - Track Point X	Tracked Nuclei - Track Point Y	Tracked Nuclei - Current Step Size [µm]	Tracked Nuclei - Current Speed [µm/s]	Tracks: Tracked Nuclei - Start Type	Tracks: Tracked Nuclei - End Type	Tracks: Tracked Nuclei - Parent ID	Tracks: Tracked Nuclei - Root ID	Tracks: Tracked Nuclei - Accumulated Distance [µm]	Tracks: Tracked Nuclei - Displacement [µm]
6	12	12	1247	13	12.05	-0.9932	-0.4966	1247	16	0.4966	0.2473	Begin	End	12	12	7.158	0.4966
7	14	12	1248	13	14.05	-0.4966	-0.4966	1248	16	0.4966	0.2494	Begin	End	12	12	7.158	0.4966
8	16	12	1248	12	16.03	-0.9932	-0.4966	1247	16	0.4966	0.2483	Begin	End	12	12	7.158	0.4966
9	18	12	1248	15	18.05	-0.4966	-0.4966	1248	16	0.2483	0.1247	Begin	End	12	12	7.158	0.4966
10	20	12	1248	13	20.01	-0.4966	-0.4966	1248	16	0	0	Begin	End	12	12	7.158	0.4966
11	22	12	1248	13	22.06	-0.4966	-0.4966	1248	16	0	0	Begin	End	12	12	7.158	0.4966
12	24	12	1248	13	24.01	-0.4966	-0.4966	1248	16	0	0	Begin	End	12	12	7.158	0.4966
13	26	12	1247	13	26.06	-0.4966	-0.4966	1248	16	0	0	Begin	End	12	12	7.158	0.4966
14	28	12	1247	13	28.03	-0.4966	-0.4966	1248	16	0.2483	0.1252	Begin	End	12	12	7.158	0.4966
15	30	12	1247	13	30.03	-0.9932	-0.4966	1247	16	0.2483	0.1236	Begin	End	12	12	7.158	0.4966
16	32	12	1247	14	32.05	-0.9932	-0.4966	1247	16	0	0	Begin	End	12	12	7.158	0.4966
17	34	12	1247	13	34.05	-0.9932	-0.4966	1247	16	0	0	Begin	End	12	12	7.158	0.4966
18	36	12	1248	13	36.03	-0.9932	-0.4966	1247	16	0	0	Begin	End	12	12	7.158	0.4966
19	38	12	1247	13	38.03	-0.9932	-0.4966	1247	16	0	0	Begin	End	12	12	7.158	0.4966
20	40	12	1248	14	40.03	-0.9932	-0.4966	1247	16	0.2483	0.1242	Begin	End	12	12	7.158	0.4966
21	42	12	1247	13	42.03	-0.4966	-0.4966	1248	16	0.4966	0.2483	Begin	End	12	12	7.158	0.4966
22	44	12	1247	13	44.03	-0.9932	-0.4966	1247	16	0.4966	0.2473	Begin	End	12	12	7.158	0.4966
23	46	12	1248	13	46.05	-0.4966	-0.4966	1248	16	0.2483	0.1247	Begin	End	12	12	7.158	0.4966
24	48	12	1248	13	48.01	-0.4966	-0.4966	1248	16	0	0	Begin	End	12	12	7.158	0.4966
25	50	12	1248	15	50.03	-0.4966	-0.4966	1248	16	0.2483	0.1237	Begin	End	12	12	7.158	0.4966
26	52	12	1248	13	52.03	-0.9932	-0.4966	1247	16	0.4966	0.2473	Begin	End	12	12	7.158	0.4966
27	54	12	1248	13	54.05	-0.4966	-0.4966	1248	16	0.2483	0.1242	Begin	End	12	12	7.158	0.4966
28	56	12	1249	14	56.03	-0.4966	-0.4966	1248	16	0	0	Begin	End	12	12	7.158	0.4966
29	58	12	1248	13	58.01	-0.4966	-0.4966	1248	16	0	0	Begin	End	12	12	7.158	0.4966
30	60	12	1248	13	60.05	-0.4966	-0.4966	1248	16	0.2483	0.1231	Begin	End	12	12	7.158	0.4966
31	62	12	1249	14	62.05	0	-0.4966	1249	16	0.4966	0.2483	Begin	End	12	12	7.158	0.4966
0	0	14	579	16	0	0	0	581	22	1.11	0.547	Begin	End	14	14	26.18	1.57
1	2	14	579	15	2.03	-0.4966	-0.9932	580	20	1.11	0.5488	Begin	End	14	14	26.18	1.57
2	4	14	578	15	4.047	-1.49	-0.4966	578	21	0.9064	0.4513	Begin	End	14	14	26.18	1.57
